n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
10,latest_mlp,val,pneumonia,2400,205,2195,0.08541666666666667,0.554901938996611,0.09961649932277833,0.47531142830848694,0.17484008528784648,0.6,0.5084282460136674
10,latest_mlp,val,consolidation,2400,190,2210,0.07916666666666666,0.5744915456060967,0.09944786041362137,0.4460640847682953,0.1725,0.7263157894736842,0.4244343891402715
10,latest_mlp,val,lung_opacity,2400,691,1709,0.28791666666666665,0.554488495824015,0.3325490059420091,0.3357197344303131,0.44970414201183434,0.9898697539797395,0.024575775307197192
10,latest_mlp,val,pneumothorax,2400,141,2259,0.05875,0.5506830047815043,0.08879163361174534,0.5114678144454956,0.13048635824436536,0.3900709219858156,0.7135900841080124
10,latest_mlp,val,pleural_effusion,2400,810,1590,0.3375,0.6277141082382173,0.45721227809699366,0.3602043092250824,0.5198481187435278,0.9296296296296296,0.1610062893081761
10,latest_mlp,val,pulmonary_edema,2400,504,1896,0.21,0.6212373794454491,0.3134943484886632,0.46645763516426086,0.38150965476887067,0.6468253968253969,0.5363924050632911
10,latest_mlp,test,pneumonia,2411,213,2198,0.08834508502695977,0.5320884970117947,0.09674524089191089,0.47531142830848694,0.15290102389078497,0.5258215962441315,0.4813466787989081
10,latest_mlp,test,consolidation,2411,179,2232,0.0742430526752385,0.5898097254760617,0.10386998375615586,0.4460640847682953,0.1562881562881563,0.7150837988826816,0.403673835125448
10,latest_mlp,test,lung_opacity,2411,719,1692,0.29821650767316465,0.5628614736122208,0.3488059066413851,0.3357197344303131,0.45769854132901133,0.9819193324061196,0.018912529550827423
10,latest_mlp,test,pneumothorax,2411,127,2284,0.052675238490253004,0.5242305252561469,0.060032705420317536,0.5114678144454956,0.09254498714652956,0.28346456692913385,0.7307355516637478
10,latest_mlp,test,pleural_effusion,2411,862,1549,0.35752799668187474,0.6060765945846358,0.4602423190478365,0.3602043092250824,0.5337321369225656,0.931554524361949,0.13234344738540993
10,latest_mlp,test,pulmonary_edema,2411,526,1885,0.21816673579427623,0.6175671450615728,0.3117799283943846,0.46645763516426086,0.37990060739922693,0.6539923954372624,0.5007957559681697
