case,n,target_window,cross_patient_recall@1,cross_patient_recall@5,cross_patient_recall@10,cross_patient_mrr,cross_patient_median_rank,within_patient_temporal_recall@1,within_patient_temporal_recall@5,within_patient_temporal_mrr
Case 2: sequence CLS,0,"[t2-0-12h, t2-0]",0.003572385460391176,0.015986424935250515,0.027150129498972938,0.014377464776713695,725.0,0.3731442205726405,0.889050901378579,0.5920597432865822
Case 2: sequence CLS,2,"[t2-2-12h, t2-2]",0.004333470903838217,0.021873710276516713,0.03879488237721832,0.019306081003540584,407.5,0.41233283803863297,0.9591381872213968,0.6462543956786131
Case 2: sequence CLS,4,"[t2-4-12h, t2-4]",0.003840782122905028,0.019553072625698324,0.03596368715083799,0.01925310570784938,341.5,0.39500640204865556,0.9609475032010243,0.6392319019719811
Case 2: sequence CLS,6,"[t2-6-12h, t2-6]",0.004008016032064128,0.02124248496993988,0.03567134268537074,0.018444382129889636,384.0,0.38573407202216065,0.943213296398892,0.6208802412576668
Case 3: nearest ECG,0,"[t2-0-12h, t2-0]",0.00446548182548897,0.01955881039564169,0.03197284987050103,0.01621591071645193,697.0,0.3457051961823966,0.8803022269353128,0.5707506861185456
Case 3: nearest ECG,2,"[t2-2-12h, t2-2]",0.007841518778373916,0.028683450268262484,0.0470491126702435,0.02412048314985846,394.5,0.40824665676077265,0.9539375928677564,0.6378079820130319
Case 3: nearest ECG,4,"[t2-4-12h, t2-4]",0.005935754189944134,0.029329608938547486,0.04504189944134078,0.0237839417455653,310.0,0.4065300896286812,0.9571062740076824,0.6441847276354341
Case 3: nearest ECG,6,"[t2-6-12h, t2-6]",0.007214428857715431,0.030861723446893786,0.04649298597194389,0.02556770965060708,318.0,0.389196675900277,0.9494459833795014,0.6254783843426522
