split,variant,n_queries,gallery_size,recall@1,recall@5,recall@10,mrr,median_rank
validation,normal,4894,4894,0.0053126277073968125,0.021046178994687373,0.03841438496117695,0.019220868570447896,429.0
validation,zero_ecg,4894,4894,0.0004086636697997548,0.0014303228442991418,0.0028606456885982836,0.0026843396269477368,1652.0
validation,shuffled_patient_ecg,4894,4894,0.0002043318348998774,0.0012259910093992644,0.002043318348998774,0.001876583328243626,2429.0
validation,shuffled_ecg_time,4894,4894,0.0053126277073968125,0.020841847159787496,0.03882304863097671,0.01930979484320798,429.5
test,normal,4846,4846,0.003714403631861329,0.01981015270326042,0.03714403631861329,0.018163573521779438,418.5
test,zero_ecg,4846,4846,0.0002063557573256294,0.0014444903012794056,0.0024762690879075525,0.0026181219198164658,1651.0
test,shuffled_patient_ecg,4846,4846,0.0,0.0006190672719768881,0.0012381345439537762,0.0014955121532629807,2475.0
test,shuffled_ecg_time,4846,4846,0.003714403631861329,0.02042921997523731,0.03714403631861329,0.018188424627562375,418.0
