n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
12,sequence_attention,val,pneumonia,2271,207,2064,0.09114927344782034,0.570539826985732,0.11090770568643672,0.5048691630363464,0.1881785283474065,0.37681159420289856,0.7364341085271318
12,sequence_attention,val,consolidation,2395,184,2211,0.07682672233820459,0.6044579474170649,0.1066875164473711,0.536030650138855,0.18686868686868688,0.40217391304347827,0.7584803256445047
12,sequence_attention,val,lung_opacity,2401,697,1704,0.29029571012078303,0.5697582193303292,0.3388176318584861,0.45560428500175476,0.45471080392870133,0.896700143472023,0.16255868544600938
12,sequence_attention,val,pneumothorax,2419,148,2271,0.06118230673832162,0.5512246063765218,0.08946048627217812,0.6633167862892151,0.1437908496732026,0.14864864864864866,0.9401144870101277
12,sequence_attention,val,pleural_effusion,2373,863,1510,0.3636746734091867,0.6288490020182176,0.4829431141545908,0.4209057688713074,0.5476190476190477,0.8261877172653534,0.31920529801324504
12,sequence_attention,val,pulmonary_edema,2262,529,1733,0.2338638373121132,0.638217106605131,0.3423531346642611,0.46875619888305664,0.43152599217439913,0.7296786389413988,0.4956722446624351
12,sequence_attention,test,pneumonia,2290,218,2072,0.09519650655021834,0.535546030958875,0.1047607705924162,0.5048691630363464,0.14831460674157304,0.30275229357798167,0.7075289575289575
12,sequence_attention,test,consolidation,2425,188,2237,0.0775257731958763,0.6030064961622232,0.1055819824479994,0.536030650138855,0.16726403823178015,0.3723404255319149,0.7411712114438981
12,sequence_attention,test,lung_opacity,2439,736,1703,0.3017630176301763,0.567652352625801,0.3502445567049796,0.45560428500175476,0.46820405310971347,0.9103260869565217,0.1450381679389313
12,sequence_attention,test,pneumothorax,2471,128,2343,0.05180089032780251,0.5480453745198464,0.06246659959749881,0.6633167862892151,0.06315789473684211,0.0703125,0.9368331199317115
12,sequence_attention,test,pleural_effusion,2380,922,1458,0.3873949579831933,0.6020393133552931,0.4790029758583013,0.4209057688713074,0.560146252285192,0.8308026030368764,0.28189300411522633
12,sequence_attention,test,pulmonary_edema,2291,553,1738,0.2413793103448276,0.6323755558653813,0.33774538657942893,0.46875619888305664,0.43046007403490216,0.7359855334538878,0.4643268124280783
