n_offset_hours,model,best_epoch,best_val_macro_auroc,train_examples,val_examples,test_examples,train_patients,val_patients,test_patients,split,macro_auroc,macro_auprc,micro_auroc,micro_auprc,pneumonia_auroc,pneumonia_auprc,pneumonia_prevalence,consolidation_auroc,consolidation_auprc,consolidation_prevalence,lung_opacity_auroc,lung_opacity_auprc,lung_opacity_prevalence,pneumothorax_auroc,pneumothorax_auprc,pneumothorax_prevalence,pleural_effusion_auroc,pleural_effusion_auprc,pleural_effusion_prevalence,pulmonary_edema_auroc,pulmonary_edema_auprc,pulmonary_edema_prevalence
0,single_mlp,11,0.6814072409705925,57414,12437,12516,26719,5719,5730,val,0.6814072409705925,0.18316222962985265,0.7079237744054072,0.19849164561021618,0.6011939324158405,0.08163819657114384,0.05821339551338747,0.6600163109461605,0.057036036998685674,0.0340918227868457,0.6446312699621415,0.29357220614640567,0.20085229556967113,0.6818159575061875,0.03944168632111977,0.017206721878266464,0.7533710738237656,0.3551587609170971,0.1620969687223607,0.7474149011694591,0.2721264908246638,0.12567339390528262
0,single_mlp,11,0.6814072409705925,57414,12437,12516,26719,5719,5730,test,0.6720750342862473,0.17953728408831968,0.7072655540631093,0.19365223606054385,0.5986081386687224,0.08254004921997293,0.06144135506551614,0.6696715838103319,0.0570453476283747,0.030600830936401407,0.6402193942787637,0.2699894386883205,0.1905560882070949,0.6082275744043968,0.0350221243377829,0.01693831895174177,0.7547449884000592,0.35727591630326444,0.16714605305209332,0.7609785261552099,0.2753508283522025,0.12024608501118568
0,sequence_attention,7,0.7054674431148934,51101,11065,11161,26719,5719,5730,val,0.7054674431148934,0.18702507111655717,0.7274222399035144,0.19620147126954615,0.6049380130989488,0.07747546109312375,0.057749661093538185,0.6933819092390578,0.0675226815934485,0.03271577044735653,0.652098241588911,0.29327324351178063,0.19692724807953005,0.76030501691736,0.051329406779092784,0.01780388612742883,0.7603942467392897,0.36323352612024823,0.15906009941256213,0.7616872311057931,0.26931610760164904,0.12001807501129688
0,sequence_attention,7,0.7054674431148934,51101,11065,11161,26719,5719,5730,test,0.7018363444240062,0.186337796734402,0.7271284869154001,0.19450451239200572,0.6169686412796197,0.08781675273394546,0.061553624227219786,0.6832155887471858,0.05882729394096898,0.03073201326046053,0.651979630452751,0.2852195807504704,0.1906639190036735,0.728900822327919,0.04759408349144226,0.016844368784159125,0.7593987262858729,0.3598329533971409,0.16261983693217455,0.7705546574506884,0.27873611609244414,0.11477466176865872
0,latest_mlp,5,0.6842717207209502,51101,11065,11161,26719,5719,5730,val,0.6842717207209502,0.18250824157658485,0.7096027071736034,0.20642721743922748,0.5959290710265386,0.07508378287408743,0.057749661093538185,0.6695068713630661,0.06017147580149888,0.03271577044735653,0.6491683655609368,0.2897716136532634,0.19692724807953005,0.6902808319118765,0.041998816045750426,0.01780388612742883,0.7514816081285721,0.3579611003249141,0.15906009941256213,0.7492635763347114,0.2700626607599948,0.12001807501129688
0,latest_mlp,5,0.6842717207209502,51101,11065,11161,26719,5719,5730,test,0.6769253782466351,0.17593528603821096,0.7055093590590023,0.19693557144754825,0.6111007807785772,0.08630126329494128,0.061553624227219786,0.6756776714330451,0.05585084402237227,0.03073201326046053,0.6398997847491528,0.27447770848407105,0.1906639190036735,0.6326115261638333,0.031237585653000492,0.016844368784159125,0.7447900104875378,0.3438741793407605,0.16261983693217455,0.7574724958676642,0.2638701354341202,0.11477466176865872
2,single_mlp,9,0.6539086097464187,25395,5536,5496,14217,3056,3039,val,0.6539086097464187,0.1854522469605557,0.6830075411848455,0.20710827823772324,0.6168699881068733,0.0776750217503119,0.05888728323699422,0.6389927916373181,0.07651806616799224,0.048952312138728325,0.6349361536581384,0.29909181466699436,0.21658236994219654,0.6303778826737322,0.045954018364411396,0.03143063583815029,0.7115871087062853,0.3622522609206473,0.203757225433526,0.6906877336961653,0.2512222998929769,0.1495664739884393
2,single_mlp,9,0.6539086097464187,25395,5536,5496,14217,3056,3039,test,0.6517244270035915,0.190330008458337,0.6858746747347564,0.21299071961823673,0.5912229116310749,0.08098235747991608,0.0638646288209607,0.63831886977432,0.06130494629786958,0.039847161572052404,0.6391124484716497,0.30691551518015975,0.21761280931586607,0.6168607856846461,0.05677041674367657,0.030021834061135372,0.712397330089625,0.3869573288582582,0.2136098981077147,0.7124342163702333,0.2490494861901418,0.14101164483260553
2,sequence_attention,6,0.6954265600857021,22445,4851,4877,14217,3056,3039,val,0.6954265600857021,0.19977844383784438,0.7060695186379156,0.20828502484357528,0.6322089661254544,0.08020862417249729,0.0564831993403422,0.7048035963173083,0.08867193653562001,0.045351473922902494,0.650011034251448,0.29730960606146484,0.2088229231086374,0.7194055323448294,0.06126884801911556,0.032158317872603585,0.7450496031001803,0.4062425646767779,0.1976911976911977,0.7210806283749925,0.2649690835615906,0.14120799835085548
2,sequence_attention,6,0.6954265600857021,22445,4851,4877,14217,3056,3039,test,0.6821710836589262,0.199669538918952,0.7015557717409241,0.2083700467346237,0.6070958636412985,0.08814571300033015,0.06192331351240517,0.667796664528544,0.07292359357576118,0.04100881689563256,0.6560042635705119,0.31931358672958365,0.21591142095550545,0.6900444256399407,0.0638221345136584,0.030756612671724422,0.7389890715835074,0.40077547182669704,0.20729956940742258,0.7330962129897546,0.2530367338676818,0.13327865491080582
