n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
10,latest_mlp,val,pneumonia,2229,205,2024,0.09196949304620906,0.5642352742697387,0.11198270629740711,0.48767438530921936,0.1915772089182494,0.5658536585365853,0.5602766798418972
10,latest_mlp,val,consolidation,2355,190,2165,0.08067940552016985,0.5905287468092866,0.1009491004205566,0.4885522425174713,0.18488745980707397,0.6052631578947368,0.5662817551963049
10,latest_mlp,val,lung_opacity,2357,691,1666,0.2931692829868477,0.5621908676639975,0.3412032447047996,0.35476797819137573,0.4563399130143861,0.9869753979739508,0.030012004801920768
10,latest_mlp,val,pneumothorax,2376,141,2235,0.059343434343434344,0.5565678201405746,0.08248643060906985,0.6672735810279846,0.13452914798206278,0.10638297872340426,0.9700223713646532
10,latest_mlp,val,pleural_effusion,2334,810,1524,0.34704370179948585,0.632299666245423,0.46786848100638834,0.4297691285610199,0.5396018636171114,0.7864197530864198,0.400262467191601
10,latest_mlp,val,pulmonary_edema,2215,504,1711,0.2275395033860045,0.6362524700119674,0.3427538241479623,0.48362788558006287,0.41164241164241167,0.5892857142857143,0.6247808299240211
10,latest_mlp,test,pneumonia,2214,213,2001,0.09620596205962059,0.5257805369615661,0.10093394889082045,0.48767438530921936,0.175,0.5258215962441315,0.5227386306846576
10,latest_mlp,test,consolidation,2356,179,2177,0.07597623089983022,0.5900347205292507,0.09880145074960074,0.4885522425174713,0.17494089834515367,0.6201117318435754,0.5502985760220487
10,latest_mlp,test,lung_opacity,2361,719,1642,0.30453197797543413,0.5663227449140182,0.3601355044867718,0.35476797819137573,0.46596166556510243,0.980528511821975,0.024360535931790498
10,latest_mlp,test,pneumothorax,2395,127,2268,0.05302713987473904,0.5171141801719229,0.06118274303377284,0.6672735810279846,0.041666666666666664,0.031496062992125984,0.9731040564373897
10,latest_mlp,test,pleural_effusion,2316,862,1454,0.37219343696027635,0.6064680360123446,0.47380336667511697,0.4297691285610199,0.5397727272727273,0.771461716937355,0.35557083906464926
10,latest_mlp,test,pulmonary_edema,2218,526,1692,0.23715058611361586,0.6217482853778461,0.32810741530645054,0.48362788558006287,0.4119897959183674,0.6140684410646388,0.5750591016548463
