n,target_window,experiment_name,input_type,loss_mode,train_samples,train_patients,val_samples,val_patients,test_samples,test_patients,eligible_train_patients,batch_n_patients,k_intervals,best_epoch,best_val_mrr,test_queries,test_gallery_size,test_recall_at_1,test_recall_at_5,test_recall_at_10,test_mrr,test_median_rank,n_trainable_params,result_path
0,"[t2-0-12h, t2-0]",case3_nearest_ecg_cross_n0,single,cross,51185,26717,10945,5725,11197,5726,26717,768,1,49,0.016051376254931714,11197,11197,0.004018933642940073,0.018397785121014556,0.030275966776815218,0.015503745045846134,734.0,787968,./7.13/cross_patient_huge_batch/case3/case3_nearest_ecg_n0/case3_nearest_ecg_cross_n0/results.json
2,"[t2-2-12h, t2-2]",case3_nearest_ecg_cross_n2,single,cross,22433,14218,4894,3046,4846,3048,14218,768,1,32,0.022418723291128435,4846,4846,0.0070160957490713995,0.02661989269500619,0.04436648782501032,0.023383612866122172,407.5,787968,./7.13/cross_patient_huge_batch/case3/case3_nearest_ecg_n2/case3_nearest_ecg_cross_n2/results.json
4,"[t2-4-12h, t2-4]",case3_nearest_ecg_cross_n4,single,cross,13826,8657,3004,1855,2864,1856,8657,768,1,19,0.026877491111574767,2864,2864,0.006983240223463687,0.027932960893854747,0.04993016759776536,0.024456942176643997,331.5,787968,./7.13/cross_patient_huge_batch/case3/case3_nearest_ecg_n4/case3_nearest_ecg_cross_n4/results.json
6,"[t2-6-12h, t2-6]",case3_nearest_ecg_cross_n6,single,cross,11666,7135,2519,1529,2495,1530,7135,768,1,30,0.02342345982652667,2495,2495,0.008416833667334669,0.024849699398797595,0.043286573146292584,0.02386317825057749,338.0,787968,./7.13/cross_patient_huge_batch/case3/case3_nearest_ecg_n6/case3_nearest_ecg_cross_n6/results.json
8,"[t2-8-12h, t2-8]",case3_nearest_ecg_cross_n8,single,cross,11070,6733,2428,1442,2381,1444,6733,768,1,31,0.025880194152905996,2381,2381,0.0033599328013439733,0.01889962200755985,0.034439311213775727,0.01764049637540765,355.0,787968,./7.13/cross_patient_huge_batch/case3/case3_nearest_ecg_n8/case3_nearest_ecg_cross_n8/results.json
10,"[t2-10-12h, t2-10]",case3_nearest_ecg_cross_n10,single,cross,11003,6610,2417,1416,2331,1418,6610,768,1,26,0.025405517227296705,2331,2331,0.003003003003003003,0.024882024882024883,0.04332904332904333,0.02098901574856887,334.0,787968,./7.13/cross_patient_huge_batch/case3/case3_nearest_ecg_n10/case3_nearest_ecg_cross_n10/results.json
12,"[t2-12-12h, t2-12]",case3_nearest_ecg_cross_n12,single,cross,11381,6587,2311,1411,2384,1412,6587,768,1,21,0.025663088630395764,2384,2384,0.007130872483221477,0.02307046979865772,0.03901006711409396,0.02224979914369481,344.0,787968,./7.13/cross_patient_huge_batch/case3/case3_nearest_ecg_n12/case3_nearest_ecg_cross_n12/results.json
