n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
12,single_mlp,val,pneumonia,505,241,264,0.4772277227722772,0.604748208223312,0.5774794904774742,0.27950745820999146,0.650472334682861,1.0,0.01893939393939394
12,single_mlp,val,consolidation,300,220,80,0.7333333333333333,0.6826136363636363,0.8460377033598063,0.3709145486354828,0.859375,1.0,0.1
12,single_mlp,val,lung_opacity,846,811,35,0.958628841607565,0.5513123128412896,0.960157012751209,0.3384404182434082,0.9788774894387448,1.0,0.0
12,single_mlp,val,pneumothorax,1038,163,875,0.15703275529865124,0.5496792287467134,0.22174217679643465,0.37866413593292236,0.2814070351758794,0.8588957055214724,0.20914285714285713
12,single_mlp,val,pleural_effusion,1471,1029,442,0.699524133242692,0.6365590192120805,0.7964572909632486,0.1887672245502472,0.8238590872698158,1.0,0.004524886877828055
12,single_mlp,val,pulmonary_edema,1094,674,420,0.6160877513711152,0.615986646884273,0.7136051999310208,0.2374821901321411,0.7665148063781321,0.9985163204747775,0.02619047619047619
12,single_mlp,test,pneumonia,523,254,269,0.48565965583174,0.5783742645552205,0.5583522044029864,0.27950745820999146,0.6580310880829016,1.0,0.01858736059479554
12,single_mlp,test,consolidation,286,211,75,0.7377622377622378,0.5798420221169036,0.8211526376848636,0.3709145486354828,0.8472505091649695,0.985781990521327,0.04
12,single_mlp,test,lung_opacity,871,833,38,0.9563719862227325,0.5324287609780753,0.9619945410049038,0.3384404182434082,0.9770992366412213,0.9987995198079231,0.0
12,single_mlp,test,pneumothorax,1045,141,904,0.13492822966507176,0.559299096215402,0.16285094095454156,0.37866413593292236,0.2316684378320935,0.7730496453900709,0.23561946902654868
12,single_mlp,test,pleural_effusion,1497,1053,444,0.7034068136272545,0.6242107492107491,0.7913259175382374,0.1887672245502472,0.8262063554335033,1.0,0.0022522522522522522
12,single_mlp,test,pulmonary_edema,1106,654,452,0.5913200723327305,0.6317707910476036,0.7066449265460683,0.2374821901321411,0.7445838084378563,0.9984709480122325,0.011061946902654867
