n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
12,latest_mlp,val,pneumonia,2271,207,2064,0.09114927344782034,0.5500552372392615,0.10478755309706111,0.5160456299781799,0.1785375118708452,0.45410628019323673,0.6356589147286822
12,latest_mlp,val,consolidation,2395,184,2211,0.07682672233820459,0.602207588539516,0.1028475410194632,0.4849817454814911,0.1791044776119403,0.6195652173913043,0.5590230664857531
12,latest_mlp,val,lung_opacity,2401,697,1704,0.29029571012078303,0.5570153946154208,0.3311177414765348,0.39384880661964417,0.4542372881355932,0.9612625538020086,0.0710093896713615
12,latest_mlp,val,pneumothorax,2419,148,2271,0.06118230673832162,0.5507842717221846,0.08331859628732372,0.6048727035522461,0.13164556962025317,0.17567567567567569,0.9026860413914575
12,latest_mlp,val,pleural_effusion,2373,863,1510,0.3636746734091867,0.6233587592949283,0.4857969795183463,0.4294816553592682,0.5460394049055086,0.7867902665121669,0.3741721854304636
12,latest_mlp,val,pulmonary_edema,2262,529,1733,0.2338638373121132,0.6443883166422509,0.3616497709594641,0.4644184410572052,0.42770352369380316,0.665406427221172,0.5585689555683785
12,latest_mlp,test,pneumonia,2290,218,2072,0.09519650655021834,0.527982315539655,0.10205938118132221,0.5160456299781799,0.17095588235294118,0.42660550458715596,0.625
12,latest_mlp,test,consolidation,2425,188,2237,0.0775257731958763,0.5943001645440797,0.10478879557444437,0.4849817454814911,0.15924032140248356,0.5797872340425532,0.5207867679928475
12,latest_mlp,test,lung_opacity,2439,736,1703,0.3017630176301763,0.5611744140774592,0.3495941460222488,0.39384880661964417,0.46339869281045754,0.9633152173913043,0.051673517322372284
12,latest_mlp,test,pneumothorax,2471,128,2343,0.05180089032780251,0.5483638097524541,0.06537370890578856,0.6048727035522461,0.0979381443298969,0.1484375,0.8971404182671788
12,latest_mlp,test,pleural_effusion,2380,922,1458,0.3873949579831933,0.6014672582118553,0.476983429455732,0.4294816553592682,0.5555555555555556,0.7863340563991323,0.3395061728395062
12,latest_mlp,test,pulmonary_edema,2291,553,1738,0.2413793103448276,0.6324697174320633,0.3395419087990158,0.4644184410572052,0.4266666666666667,0.6654611211573237,0.5373993095512083
