n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
6,sequence_attention,val,pneumonia,2353,214,2139,0.09094772630684234,0.549540574903986,0.11757486973184177,0.3709416091442108,0.17771084337349397,0.8271028037383178,0.2515194015895278
6,sequence_attention,val,consolidation,2487,199,2288,0.0800160836349015,0.5552434374670556,0.10125036399156959,0.5112773776054382,0.16869918699186992,0.41708542713567837,0.6931818181818182
6,sequence_attention,val,lung_opacity,2493,715,1778,0.2868030485359005,0.5687603734847829,0.34422549176480055,0.41534075140953064,0.4560117302052786,0.8699300699300699,0.21766029246344207
6,sequence_attention,val,pneumothorax,2514,136,2378,0.05409705648369133,0.5876879978231832,0.06704799625893454,0.43180543184280396,0.1324110671936759,0.49264705882352944,0.659798149705635
6,sequence_attention,val,pleural_effusion,2459,787,1672,0.3200488003253355,0.6400642467610634,0.4362351781723458,0.4260002672672272,0.518581081081081,0.7801778907242694,0.4216507177033493
6,sequence_attention,val,pulmonary_edema,2352,529,1823,0.22491496598639457,0.646449951107825,0.34982277429548514,0.5192998647689819,0.4074844074844075,0.555765595463138,0.65990126165661
6,sequence_attention,test,pneumonia,2258,206,2052,0.0912311780336581,0.573052101667329,0.11431298315246104,0.3709416091442108,0.17701863354037267,0.8300970873786407,0.2422027290448343
6,sequence_attention,test,consolidation,2441,173,2268,0.0708725931995084,0.5749762975196501,0.09313574115578027,0.5112773776054382,0.15287958115183245,0.42196531791907516,0.687389770723104
6,sequence_attention,test,lung_opacity,2440,736,1704,0.3016393442622951,0.5642908629312104,0.35110462885845983,0.41534075140953064,0.4630294328786791,0.876358695652174,0.17546948356807512
6,sequence_attention,test,pneumothorax,2466,128,2338,0.05190592051905921,0.5112375695038495,0.058045799695781775,0.43180543184280396,0.09130434782608696,0.328125,0.679213002566296
6,sequence_attention,test,pleural_effusion,2401,832,1569,0.3465222823823407,0.6361497707996274,0.47199856484188907,0.4260002672672272,0.5295821266032271,0.7692307692307693,0.3977055449330784
6,sequence_attention,test,pulmonary_edema,2269,523,1746,0.23049801674746584,0.6539941609228633,0.3464258238319961,0.5192998647689819,0.41809458533241944,0.5831739961759083,0.638602520045819
