n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
8,sequence_attention,val,pneumonia,454,208,246,0.4581497797356828,0.6028767979987492,0.5765247380607241,0.22193311154842377,0.6294573643410852,0.9759615384615384,0.04878048780487805
8,sequence_attention,val,consolidation,257,192,65,0.7470817120622568,0.6952724358974358,0.8487884382384192,0.1722361296415329,0.8623024830699775,0.9947916666666666,0.07692307692307693
8,sequence_attention,val,lung_opacity,720,685,35,0.9513888888888888,0.5730552659019812,0.9639312287324263,0.18765445053577423,0.9750889679715302,1.0,0.0
8,sequence_attention,val,pneumothorax,838,130,708,0.15513126491646778,0.5543459365493264,0.17671900269381596,0.33375468850135803,0.296028880866426,0.6307692307692307,0.5169491525423728
8,sequence_attention,val,pleural_effusion,1202,779,423,0.6480865224625624,0.6337533420127035,0.7460159614284629,0.18995073437690735,0.7869700103412617,0.9768934531450578,0.06855791962174941
8,sequence_attention,val,pulmonary_edema,904,519,385,0.5741150442477876,0.633310812501564,0.6883818029318933,0.22596502304077148,0.7365313653136532,0.9614643545279383,0.12467532467532468
8,sequence_attention,test,pneumonia,453,209,244,0.4613686534216336,0.5797513530472979,0.5263096822040205,0.22193311154842377,0.625,0.9569377990430622,0.05327868852459016
8,sequence_attention,test,consolidation,239,175,64,0.7322175732217573,0.5957142857142856,0.799892799814022,0.1722361296415329,0.8446601941747572,0.9942857142857143,0.015625
8,sequence_attention,test,lung_opacity,754,719,35,0.9535809018567639,0.6006755414265844,0.9692715404409804,0.18765445053577423,0.9762389680923286,1.0,0.0
8,sequence_attention,test,pneumothorax,843,126,717,0.1494661921708185,0.5116667773571539,0.16109312703160383,0.33375468850135803,0.2380038387715931,0.49206349206349204,0.5355648535564853
8,sequence_attention,test,pleural_effusion,1226,835,391,0.6810766721044046,0.6476254651821676,0.7838590077456582,0.18995073437690735,0.8086999505684627,0.9796407185628743,0.05370843989769821
8,sequence_attention,test,pulmonary_edema,887,522,365,0.588500563697858,0.6289770639794259,0.7026140089347925,0.22596502304077148,0.7301115241635687,0.9406130268199234,0.09041095890410959
