n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
8,single_mlp,val,pneumonia,531,243,288,0.4576271186440678,0.5957718907178784,0.569913031884421,0.13724535703659058,0.627906976744186,1.0,0.0
8,single_mlp,val,consolidation,299,225,74,0.7525083612040134,0.6684084084084084,0.848133957214848,0.17994262278079987,0.8620689655172413,1.0,0.02702702702702703
8,single_mlp,val,lung_opacity,853,818,35,0.958968347010551,0.5833042263360111,0.9721600848194634,0.1903855800628662,0.9790544584081389,1.0,0.0
8,single_mlp,val,pneumothorax,981,142,839,0.14475025484199797,0.5480493209555306,0.17949307347817522,0.3969327211380005,0.2714508580343214,0.6126760563380281,0.5089392133492253
8,single_mlp,val,pleural_effusion,1442,950,492,0.6588072122052705,0.6473652118100128,0.7657990864395758,0.24250374734401703,0.7953667953667953,0.9757894736842105,0.07723577235772358
8,single_mlp,val,pulmonary_edema,1111,662,449,0.5958595859585959,0.6341517571777497,0.7110153958395871,0.18897880613803864,0.7498581962563812,0.9984894259818731,0.0200445434298441
8,single_mlp,test,pneumonia,531,246,285,0.4632768361581921,0.5570246755099129,0.506097722425263,0.13724535703659058,0.634020618556701,1.0,0.0035087719298245615
8,single_mlp,test,consolidation,272,196,76,0.7205882352941176,0.6206028464017186,0.8229753211571882,0.17994262278079987,0.8412017167381974,1.0,0.02631578947368421
8,single_mlp,test,lung_opacity,879,838,41,0.9533560864618885,0.5564351824902498,0.9645605386307117,0.1903855800628662,0.9761211415259173,1.0,0.0
8,single_mlp,test,pneumothorax,979,136,843,0.13891726251276812,0.5133364733793874,0.1587810608618321,0.3969327211380005,0.2127659574468085,0.47794117647058826,0.5136417556346382
8,single_mlp,test,pleural_effusion,1428,964,464,0.6750700280112045,0.641062070754042,0.7783150536276559,0.24250374734401703,0.8053173241852487,0.9740663900414938,0.07543103448275862
8,single_mlp,test,pulmonary_edema,1049,627,422,0.5977121067683508,0.6141957111650302,0.6976501513828826,0.18897880613803864,0.7483403741701871,0.988835725677831,0.02843601895734597
