n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
10,single_mlp,val,pneumonia,528,241,287,0.4564393939393939,0.6018838463429093,0.5565322522110033,0.19201190769672394,0.6325459317585301,1.0,0.024390243902439025
10,single_mlp,val,consolidation,309,227,82,0.7346278317152104,0.657891909315569,0.8300705298729392,0.28272414207458496,0.8598484848484849,1.0,0.0975609756097561
10,single_mlp,val,lung_opacity,851,815,36,0.9576968272620446,0.5168370824812543,0.9618449747291784,0.24747638404369354,0.978391356542617,1.0,0.0
10,single_mlp,val,pneumothorax,991,154,837,0.15539858728557013,0.5736900494965012,0.21084324414538497,0.385016530752182,0.2897196261682243,0.6038961038961039,0.5280764635603346
10,single_mlp,val,pleural_effusion,1426,971,455,0.6809256661991585,0.6568067360034404,0.793882852525107,0.1734408736228943,0.8109014675052411,0.995880535530381,0.017582417582417582
10,single_mlp,val,pulmonary_edema,1075,641,434,0.5962790697674418,0.6085914865166036,0.6826657068738119,0.14394737780094147,0.7497076023391813,1.0,0.013824884792626729
10,single_mlp,test,pneumonia,527,251,276,0.476280834914611,0.5507679427218661,0.5359477054020162,0.19201190769672394,0.6468305304010349,0.9960159362549801,0.014492753623188406
10,single_mlp,test,consolidation,277,202,75,0.7292418772563177,0.6228382838283828,0.8090812461202346,0.28272414207458496,0.8479657387580299,0.9801980198019802,0.10666666666666667
10,single_mlp,test,lung_opacity,869,828,41,0.952819332566168,0.5984594085071286,0.9676022927588792,0.24747638404369354,0.9727810650887574,0.9927536231884058,0.024390243902439025
10,single_mlp,test,pneumothorax,1009,136,873,0.13478691774033696,0.5271755609460278,0.14769036924139675,0.385016530752182,0.24213836477987422,0.5661764705882353,0.5154639175257731
10,single_mlp,test,pleural_effusion,1442,991,451,0.687239944521498,0.618869157226569,0.7727225110880107,0.1734408736228943,0.8176932616783795,0.9979818365287588,0.026607538802660754
10,single_mlp,test,pulmonary_edema,1059,626,433,0.591123701605288,0.6329789196408149,0.7015418650832466,0.14394737780094147,0.74360499702558,0.9984025559105432,0.006928406466512702
