n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
6,latest_mlp,val,pneumonia,2353,214,2139,0.09094772630684234,0.54293647568739,0.10340527821930104,0.3997647762298584,0.17775520568816658,0.8177570093457944,0.2613370733987845
6,latest_mlp,val,consolidation,2487,199,2288,0.0800160836349015,0.5471445953543943,0.09678245028464372,0.47868970036506653,0.1609375,0.5175879396984925,0.5725524475524476
6,latest_mlp,val,lung_opacity,2493,715,1778,0.2868030485359005,0.5601209813808239,0.34237566525922336,0.396237850189209,0.45036319612590797,0.9104895104895104,0.1422947131608549
6,latest_mlp,val,pneumothorax,2514,136,2378,0.05409705648369133,0.5655874313560579,0.06341977284815584,0.45321130752563477,0.11908396946564885,0.5735294117647058,0.5391084945332212
6,latest_mlp,val,pleural_effusion,2459,787,1672,0.3200488003253355,0.6322078117495425,0.43885710015311175,0.37339597940444946,0.5112670853343184,0.8792884371029225,0.26555023923444976
6,latest_mlp,val,pulmonary_edema,2352,529,1823,0.22491496598639457,0.6460481331277407,0.34084219554624673,0.45297619700431824,0.4257256687535572,0.7069943289224953,0.5315414152495886
6,latest_mlp,test,pneumonia,2258,206,2052,0.0912311780336581,0.559655273566873,0.10672194920543274,0.3997647762298584,0.1743166580711707,0.8203883495145631,0.2378167641325536
6,latest_mlp,test,consolidation,2441,173,2268,0.0708725931995084,0.5844369004291934,0.0936472523928813,0.47868970036506653,0.15372670807453417,0.5722543352601156,0.5520282186948854
6,latest_mlp,test,lung_opacity,2440,736,1704,0.3016393442622951,0.5532303308073075,0.3454986783997763,0.396237850189209,0.45873452544704263,0.90625,0.11678403755868545
6,latest_mlp,test,pneumothorax,2466,128,2338,0.05190592051905921,0.5147010666167664,0.06338520933667845,0.45321130752563477,0.09501187648456057,0.46875,0.5402053036783576
6,latest_mlp,test,pleural_effusion,2401,832,1569,0.3465222823823407,0.6382337935725841,0.48457006719972184,0.37339597940444946,0.5300765585125775,0.8737980769230769,0.24537922243467178
6,latest_mlp,test,pulmonary_edema,2269,523,1746,0.23049801674746584,0.6458958909630097,0.33516422534498114,0.45297619700431824,0.41762013729977115,0.6978967495219885,0.5074455899198167
