n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
8,latest_mlp,val,pneumonia,2234,208,2026,0.09310653536257833,0.5535383761105628,0.1120458239654746,0.5410728454589844,0.19553072625698323,0.33653846153846156,0.7838104639684107
8,latest_mlp,val,consolidation,2358,192,2166,0.08142493638676845,0.5521698984302862,0.09822783898822024,0.46122342348098755,0.1701215153681201,0.6197916666666666,0.4976915974145891
8,latest_mlp,val,lung_opacity,2363,685,1678,0.2898857384680491,0.5666647816743952,0.34791882257304774,0.4023990333080292,0.45285766290498725,0.908029197080292,0.14183551847437426
8,latest_mlp,val,pneumothorax,2380,130,2250,0.0546218487394958,0.5613931623931624,0.06885327892688758,0.5516184568405151,0.12520064205457465,0.3,0.7982222222222223
8,latest_mlp,val,pleural_effusion,2339,779,1560,0.33304831124412143,0.6360973963990652,0.4577465801730509,0.4234026074409485,0.5260042283298098,0.7984595635430038,0.382051282051282
8,latest_mlp,val,pulmonary_edema,2226,519,1707,0.23315363881401618,0.6503832682606924,0.3702896975023461,0.42943915724754333,0.43286788399570353,0.7764932562620424,0.44932630345635616
8,latest_mlp,test,pneumonia,2184,209,1975,0.09569597069597069,0.5514069408273272,0.11209873877739007,0.5410728454589844,0.17992177314211213,0.33014354066985646,0.7524050632911392
8,latest_mlp,test,consolidation,2342,175,2167,0.07472245943637916,0.5942013316632606,0.09452982552333483,0.46122342348098755,0.16537102473498233,0.6685714285714286,0.48177203507152744
8,latest_mlp,test,lung_opacity,2344,719,1625,0.306740614334471,0.5331327698726864,0.33424340376282297,0.4023990333080292,0.46285714285714286,0.9012517385257302,0.11815384615384615
8,latest_mlp,test,pneumothorax,2377,126,2251,0.05300799326882625,0.4930648107014166,0.056250834675704145,0.5516184568405151,0.0812720848056537,0.18253968253968253,0.814749000444247
8,latest_mlp,test,pleural_effusion,2302,835,1467,0.3627280625543006,0.6267424251701097,0.4825004916790819,0.4234026074409485,0.5419566107245191,0.792814371257485,0.3551465576005453
8,latest_mlp,test,pulmonary_edema,2195,522,1673,0.2378132118451025,0.6297540610049627,0.3502642213706071,0.42943915724754333,0.40822784810126583,0.7413793103448276,0.4100418410041841
