n_offset_hours,model,split,label,n,n_positive,n_negative,prevalence,auroc,auprc,threshold,f1,sensitivity,specificity
10,sequence_attention,val,pneumonia,2229,205,2024,0.09196949304620906,0.5678926058035284,0.1146494756629867,0.48235055804252625,0.19,0.6487804878048781,0.475296442687747
10,sequence_attention,val,consolidation,2355,190,2165,0.08067940552016985,0.578981402698432,0.1016724064642463,0.4878472685813904,0.176759410801964,0.5684210526315789,0.5732101616628176
10,sequence_attention,val,lung_opacity,2357,691,1666,0.2931692829868477,0.5584951781001837,0.33840479326101125,0.3175598382949829,0.4544854881266491,0.9971056439942113,0.008403361344537815
10,sequence_attention,val,pneumothorax,2376,141,2235,0.059343434343434344,0.5735192853856284,0.08392474319266012,0.509742796421051,0.14427860696517414,0.41134751773049644,0.7293064876957495
10,sequence_attention,val,pleural_effusion,2334,810,1524,0.34704370179948585,0.630896600887852,0.46606271966187135,0.4218231439590454,0.5359582161510646,0.8234567901234567,0.3359580052493438
10,sequence_attention,val,pulmonary_edema,2215,504,1711,0.2275395033860045,0.6455886513966584,0.3557945062673151,0.46282342076301575,0.4271604938271605,0.6865079365079365,0.5499707773232028
10,sequence_attention,test,pneumonia,2214,213,2001,0.09620596205962059,0.5240337577690029,0.10369710535888813,0.48235055804252625,0.1717967072297781,0.5633802816901409,0.4682658670664668
10,sequence_attention,test,consolidation,2356,179,2177,0.07597623089983022,0.5963667904424877,0.10209833190638157,0.4878472685813904,0.16494845360824742,0.5810055865921788,0.5507579237482775
10,sequence_attention,test,lung_opacity,2361,719,1642,0.30453197797543413,0.5590179722479625,0.3468840175459527,0.3175598382949829,0.4661458333333333,0.9958275382475661,0.0030450669914738123
10,sequence_attention,test,pneumothorax,2395,127,2268,0.05302713987473904,0.54644558319099,0.06733361326282855,0.509742796421051,0.10512129380053908,0.30708661417322836,0.746031746031746
10,sequence_attention,test,pleural_effusion,2316,862,1454,0.37219343696027635,0.6096762431503461,0.47444864240680035,0.4218231439590454,0.5464354527938343,0.8225058004640371,0.29573590096286106
10,sequence_attention,test,pulmonary_edema,2218,526,1692,0.23715058611361586,0.6312292694765796,0.34420005171983814,0.46282342076301575,0.42086956521739133,0.6901140684410646,0.5059101654846335
